(9, 2, 0)	2	0	873403	532523	26	26
(2, 10, 0)	1	0	27182	274119	15	14
(10, 2, 0)	2	0	113616	36501	17	17
(2, 11, 0)	1	0	165480	538701	18	17
(11, 2, 0)	2	0	614650	27855	18	18
(2, 12, 0)	2	0	660030	910616	45	45
(12, 2, 0)	2	0	951613	518239	53	53
(2, 13, 0)	2	0	470589	366808	35	35
(13, 2, 0)	1	0	72175	32455	14	13
(2, 14, 0)	1	0	55341	181852	15	14
(14, 2, 0)	2	0	163253	28560	12	12
(2, 15, 0)	1	0	71057	153517	13	12
(15, 2, 0)	1	0	337345	121051	29	28
(3, 4, 0)	2	0	195896	91273	10	10
(4, 3, 0)	2	0	561598	732873	37	37
(3, 5, 0)	2	0	718027	543536	28	28
(5, 3, 0)	2	0	334834	353628	20	20
(3, 6, 0)	1	0	327669	358084	14	13
(6, 3, 0)	2	0	693788	464736	21	21
(3, 7, 0)	1	0	291647	531906	18	17
(7, 3, 0)	2	0	650624	637259	28	28
(3, 8, 0)	1	0	537137	344355	17	16
(8, 3, 0)	2	0	116858	195601	11	11
(3, 9, 0)	1	0	955424	956304	55	54
(9, 3, 0)	2	0	527537	197852	14	14
(3, 10, 0)	1	0	623954	854200	47	46
(10, 3, 0)	2	0	109599	104431	12	12
(3, 11, 0)	1	0	229967	485220	12	11
(11, 3, 0)	2	0	615728	368261	15	15
(3, 12, 0)	2	0	780648	835586	33	33
(12, 3, 0)	2	0	669989	547503	25	25
(3, 13, 0)	2	0	697104	251896	27	27
(13, 3, 0)	1	0	69249	174503	11	10
(3, 14, 0)	1	0	462298	572076	23	22
(14, 3, 0)	2	0	566521	515287	21	21
(3, 15, 0)	2	0	449239	342282	21	21
(15, 3, 0)	2	0	155165	180214	14	14
(4, 5, 0)	1	0	107584	149025	14	13
(5, 4, 0)	2	0	250563	143242	21	21
(4, 6, 0)	1	0	103413	278928	7	6
(6, 4, 0)	2	0	656476	287516	24	24
(4, 7, 0)	1	0	200568	363242	14	13
(7, 4, 0)	2	0	276739	105689	17	17
(4, 8, 0)	1	0	113852	120678	10	9
(8, 4, 0)	2	0	240145	197412	13	13
(4, 9, 0)	1	0	232381	567393	17	16
(9, 4, 0)	2	0	647121	97812	13	13
(4, 10, 0)	1	0	99641	176488	12	11
(10, 4, 0)	2	0	202774	163399	19	19
(4, 11, 0)	2	0	221182	576920	22	22
(11, 4, 0)	1	0	577207	204323	22	21
(4, 12, 0)	2	0	600706	914088	45	45
(12, 4, 0)	2	0	642655	298596	28	28
(4, 13, 0)	2	0	570547	359369	35	35
(13, 4, 0)	1	0	100962	224333	21	20
(4, 14, 0)	1	0	104326	231761	13	12
(14, 4, 0)	2	0	202265	80399	11	11
(4, 15, 0)	1	0	100289	54594	10	9
(15, 4, 0)	2	0	233986	128602	13	13
(5, 6, 0)	1	0	118716	278615	7	6
(6, 5, 0)	2	0	213726	192617	14	14
(5, 7, 0)	1	0	160947	316104	14	13
(7, 5, 0)	2	0	371238	226501	16	16
(5, 8, 0)	2	0	346928	272387	24	24
(8, 5, 0)	2	0	240393	214468	13	13
(5, 9, 0)	1	0	137144	558776	15	14
(9, 5, 0)	2	0	535237	118179	12	12
(5, 10, 0)	1	0	96057	146739	12	11
(10, 5, 0)	2	0	111964	132510	16	16
(5, 11, 0)	2	0	246804	411554	15	15
(11, 5, 0)	2	0	538239	173314	13	13
(5, 12, 0)	2	0	668041	783969	37	37
(12, 5, 0)	0	0	1000881	997369	110	110
(5, 13, 0)	2	0	772570	653146	38	38
(13, 5, 0)	1	0	66812	127800	14	13
(5, 14, 0)	1	0	114021	245769	15	14
(14, 5, 0)	2	0	202684	84220	14	14
(5, 15, 0)	1	0	93306	54644	9	8
(15, 5, 0)	1	0	650077	600503	36	35
(6, 7, 0)	1	0	391694	358205	16	15
(7, 6, 0)	1	0	767740	700537	31	30
(6, 8, 0)	1	0	337769	86378	9	8
(8, 6, 0)	2	0	129679	205698	12	12
(6, 9, 0)	1	0	450594	732695	19	18
(9, 6, 0)	2	0	677174	350265	15	15
(6, 10, 0)	2	0	228256	148541	14	14
(10, 6, 0)	2	0	388508	551551	24	24
(6, 11, 0)	1	0	277984	320009	8	7
(11, 6, 0)	1	0	192209	278491	7	6
(6, 12, 0)	2	0	565967	590670	16	16
(12, 6, 0)	1	0	255421	279552	7	6
(6, 13, 0)	2	0	430692	150769	16	16
(13, 6, 0)	1	0	173220	659176	19	18
(6, 14, 0)	1	0	256376	256359	14	13
(14, 6, 0)	2	0	387397	467587	16	16
(6, 15, 0)	1	0	121998	54547	11	10
(15, 6, 0)	1	0	195853	361926	8	7
(7, 8, 0)	2	0	430620	201443	23	23
(8, 7, 0)	2	0	116860	316845	11	11
(7, 9, 0)	1	0	479575	485145	13	12
(9, 7, 0)	2	0	652349	609915	14	14
(7, 10, 0)	1	0	686764	218280	22	21
(10, 7, 0)	1	0	253191	598938	26	25
(7, 11, 0)	2	0	285286	373515	15	15
(11, 7, 0)	2	0	547761	556897	15	15
(7, 12, 0)	2	0	438732	688869	19	19
(12, 7, 0)	1	0	308390	317772	14	13
(7, 13, 0)	2	0	667879	156123	23	23
(13, 7, 0)	1	0	174673	310871	17	16
(7, 14, 0)	2	0	561757	437899	23	23
(14, 7, 0)	2	0	201492	464078	13	13
(7, 15, 0)	1	0	620736	380799	19	18
(15, 7, 0)	1	0	263875	638913	24	23
(8, 9, 0)	2	0	231866	448420	19	19
(9, 8, 0)	1	0	895619	799129	35	34
(8, 10, 0)	2	0	890153	792290	40	40
(10, 8, 0)	1	0	222476	292024	19	18
(8, 11, 0)	2	0	116666	262682	10	10
(11, 8, 0)	1	0	367605	114620	14	13
(8, 12, 0)	2	0	116913	358163	11	11
(12, 8, 0)	2	0	578632	262208	26	26
(8, 13, 0)	2	0	372807	230735	17	17
(13, 8, 0)	1	0	171890	172799	11	10
(8, 14, 0)	2	0	128730	236529	16	16
(14, 8, 0)	1	0	193889	91740	13	12
(8, 15, 0)	2	0	116989	139189	11	11
(15, 8, 0)	1	0	357079	297311	14	13
(9, 10, 0)	2	0	872373	602697	35	35
(10, 9, 0)	1	0	500974	594079	18	17
(9, 11, 0)	2	0	658284	374184	14	14
(11, 9, 0)	1	0	342810	555598	11	10
(9, 12, 0)	2	0	622479	287944	15	15
(12, 9, 0)	1	0	237328	559905	13	12
(9, 13, 0)	2	0	547856	29397	11	11
(13, 9, 0)	1	0	56721	578481	13	12
(9, 14, 0)	2	0	624412	261209	16	16
(14, 9, 0)	0	0	965875	970326	110	110
(9, 15, 0)	2	0	679681	316675	24	24
(15, 9, 0)	1	0	239866	707023	21	20
(10, 11, 0)	2	0	253527	496034	17	17
(11, 10, 0)	1	0	453739	295424	15	14
(10, 12, 0)	2	0	109469	193652	12	12
(12, 10, 0)	1	0	141588	93595	14	13
(10, 13, 0)	2	0	108857	117205	12	12
(13, 10, 0)	1	0	154662	633350	16	15
(10, 14, 0)	2	0	109206	248954	12	12
(14, 10, 0)	2	0	356445	191122	17	17
(10, 15, 0)	2	0	863993	441207	28	28
(15, 10, 0)	1	0	342859	429683	25	24
(11, 12, 0)	1	0	404355	554411	17	16
(12, 11, 0)	2	0	926167	808122	47	47
(11, 13, 0)	2	0	491299	284124	16	16
(13, 11, 0)	1	0	190789	633704	18	17
(11, 14, 0)	1	0	517717	278970	17	16
(14, 11, 0)	2	0	235690	338699	14	14
(11, 15, 0)	1	0	285562	55241	10	9
(15, 11, 0)	2	0	263304	496156	18	18
(12, 13, 0)	2	0	892857	606486	41	41
(13, 12, 0)	1	0	52051	325892	16	15
(12, 14, 0)	1	0	197255	241273	13	12
(14, 12, 0)	2	0	203932	90422	11	11
(12, 15, 0)	1	0	156755	54155	10	9
